AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	6698	0.8313267965744073	2690.0	0.40161242161839356	6407	0.7952091349137396	2765.0	0.43155923208990166	5854	0.72657316619089	2967.0	0.5068329347454732	6696	0.8310785652227877	2707.0	0.40427120669056155	6722	0.8343055727938439	2721.0	0.40479024099970246
2	0.0	-0.2	-0.2	0	150	6698	0.8313267965744073	2690.0	0.40161242161839356	6029	0.7482934094576145	2548.0	0.42262398407696133	5363	0.6656323693682512	2617.0	0.48797314935670333	6356	0.788879235447437	2506.0	0.394273127753304	6717	0.8336849944147946	2713.0	0.40390055084114934
3	0.0	-0.4	-0.4	0	150	6698	0.8313267965744073	2690.0	0.40161242161839356	5684	0.7054735013032146	2425.0	0.42663617171006335	4982	0.6183442968846965	2394.0	0.4805299076676034	6033	0.7487898721608539	2416.0	0.4004641140394497	6715	0.8334367630631748	2712.0	0.4038719285182427
4	0.0	-0.6	-0.6	0	150	6698	0.8313267965744073	2690.0	0.40161242161839356	5238	0.6501179098920193	2277.0	0.43470790378006874	4500	0.5585205411443466	2186.0	0.48577777777777775	5687	0.7058458483306441	2269.0	0.3989801301213293	6712	0.8330644160357453	2704.0	0.4028605482717521
5	0.0	-0.8	-0.8	0	150	6698	0.8313267965744073	2690.0	0.40161242161839356	4698	0.5830954449546978	2051.0	0.43656875266070666	3938	0.48876753133920814	1898.0	0.4819705434230574	5156	0.6399404244756113	2094.0	0.4061287820015516	6706	0.8323197219808862	2695.0	0.40187891440501045
6	0.0	-1.0	-1.0	0	150	6698	0.8313267965744073	2690.0	0.40161242161839356	3320	0.4120640436887179	1563.0	0.4707831325301205	2591	0.32158371602333374	1309.0	0.5052103434967194	3802	0.4718877994290679	1582.0	0.41609679116254605	6702	0.8318232592776468	2694.0	0.40196956132497763
7	0.2	0.0	0.0	0	150	6363	0.789748045178106	2494.0	0.391953481062392	6407	0.7952091349137396	2765.0	0.43155923208990166	5854	0.72657316619089	2967.0	0.5068329347454732	6696	0.8310785652227877	2707.0	0.40427120669056155	6719	0.8339332257664143	2717.0	0.4043756511385623
8	0.2	-0.2	-0.2	0	150	6363	0.789748045178106	2494.0	0.391953481062392	6029	0.7482934094576145	2548.0	0.42262398407696133	5363	0.6656323693682512	2617.0	0.48797314935670333	6356	0.788879235447437	2506.0	0.394273127753304	6394	0.7935956311282115	2528.0	0.39537065999374416
9	0.2	-0.4	-0.4	0	150	6363	0.789748045178106	2494.0	0.391953481062392	5684	0.7054735013032146	2425.0	0.42663617171006335	4982	0.6183442968846965	2394.0	0.4805299076676034	6033	0.7487898721608539	2416.0	0.4004641140394497	6386	0.7926027057217326	2522.0	0.39492640150328845
10	0.2	-0.6	-0.6	0	150	6363	0.789748045178106	2494.0	0.391953481062392	5238	0.6501179098920193	2277.0	0.43470790378006874	4500	0.5585205411443466	2186.0	0.48577777777777775	5687	0.7058458483306441	2269.0	0.3989801301213293	6380	0.7918580116668735	2512.0	0.39373040752351096
11	0.2	-0.8	-0.8	0	150	6363	0.789748045178106	2494.0	0.391953481062392	4698	0.5830954449546978	2051.0	0.43656875266070666	3938	0.48876753133920814	1898.0	0.4819705434230574	5156	0.6399404244756113	2094.0	0.4061287820015516	6373	0.7909892019362046	2503.0	0.3927506668758826
12	0.2	-1.0	-1.0	0	150	6363	0.789748045178106	2494.0	0.391953481062392	3320	0.4120640436887179	1563.0	0.4707831325301205	2591	0.32158371602333374	1309.0	0.5052103434967194	3802	0.4718877994290679	1582.0	0.41609679116254605	6368	0.7903686235571553	2502.0	0.39290201005025127
13	0.4	0.0	0.0	0	150	6044	0.7501551445947623	2405.0	0.39791528788881536	6407	0.7952091349137396	2765.0	0.43155923208990166	5854	0.72657316619089	2967.0	0.5068329347454732	6696	0.8310785652227877	2707.0	0.40427120669056155	6718	0.8338091100906044	2716.0	0.4042869901756475
14	0.4	-0.2	-0.2	0	150	6044	0.7501551445947623	2405.0	0.39791528788881536	6029	0.7482934094576145	2548.0	0.42262398407696133	5363	0.6656323693682512	2617.0	0.48797314935670333	6356	0.788879235447437	2506.0	0.394273127753304	6389	0.7929750527491622	2519.0	0.394271403975583
15	0.4	-0.4	-0.4	0	150	6044	0.7501551445947623	2405.0	0.39791528788881536	5684	0.7054735013032146	2425.0	0.42663617171006335	4982	0.6183442968846965	2394.0	0.4805299076676034	6033	0.7487898721608539	2416.0	0.4004641140394497	6077	0.7542509618964875	2434.0	0.40052657561296695
16	0.4	-0.6	-0.6	0	150	6044	0.7501551445947623	2405.0	0.39791528788881536	5238	0.6501179098920193	2277.0	0.43470790378006874	4500	0.5585205411443466	2186.0	0.48577777777777775	5687	0.7058458483306441	2269.0	0.3989801301213293	6064	0.7526374581109594	2421.0	0.39924142480211083
17	0.4	-0.8	-0.8	0	150	6044	0.7501551445947623	2405.0	0.39791528788881536	4698	0.5830954449546978	2051.0	0.43656875266070666	3938	0.48876753133920814	1898.0	0.4819705434230574	5156	0.6399404244756113	2094.0	0.4061287820015516	6056	0.7516445327044806	2411.0	0.39811756935270803
