AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	6035	0.9991721854304636	2479.0	0.41077050538525267	6030	0.9983443708609272	3417.0	0.5666666666666667	6028	0.9980132450331126	4180.0	0.6934306569343066	6035	0.9991721854304636	2475.0	0.4101077050538525	6035	0.9991721854304636	2483.0	0.4114333057166529
2	0.0	-0.2	-0.2	0	150	6035	0.9991721854304636	2479.0	0.41077050538525267	4533	0.7504966887417218	1941.0	0.42819324950363996	4762	0.7884105960264901	2968.0	0.6232675346493071	5169	0.855794701986755	1979.0	0.3828593538402012	6035	0.9991721854304636	2477.0	0.4104391052195526
3	0.0	-0.4	-0.4	0	150	6035	0.9991721854304636	2479.0	0.41077050538525267	3183	0.5269867549668874	1320.0	0.41470311027332707	3629	0.6008278145695364	2223.0	0.612565445026178	3824	0.633112582781457	1450.0	0.37918410041841005	6035	0.9991721854304636	2477.0	0.4104391052195526
4	0.0	-0.6	-0.6	0	150	6035	0.9991721854304636	2479.0	0.41077050538525267	2284	0.3781456953642384	1016.0	0.4448336252189142	2711	0.44884105960264903	1680.0	0.6196975285872371	2701	0.4471854304635762	1142.0	0.42280636801184746	6035	0.9991721854304636	2480.0	0.4109362054681027
5	0.0	-0.8	-0.8	0	150	6035	0.9991721854304636	2479.0	0.41077050538525267	1606	0.26589403973509934	767.0	0.4775840597758406	1910	0.3162251655629139	1210.0	0.6335078534031413	1914	0.316887417218543	889.0	0.4644723092998955	6035	0.9991721854304636	2479.0	0.41077050538525267
6	0.0	-1.0	-1.0	0	150	6035	0.9991721854304636	2479.0	0.41077050538525267	542	0.08973509933774834	291.0	0.5369003690036901	527	0.08725165562913907	352.0	0.6679316888045541	699	0.11572847682119206	361.0	0.5164520743919886	6035	0.9991721854304636	2479.0	0.41077050538525267
7	0.2	0.0	0.0	0	150	5181	0.8577814569536424	1989.0	0.38390272148233934	6030	0.9983443708609272	3417.0	0.5666666666666667	6028	0.9980132450331126	4180.0	0.6934306569343066	6035	0.9991721854304636	2475.0	0.4101077050538525	6035	0.9991721854304636	2464.0	0.4082850041425021
8	0.2	-0.2	-0.2	0	150	5181	0.8577814569536424	1989.0	0.38390272148233934	4533	0.7504966887417218	1941.0	0.42819324950363996	4762	0.7884105960264901	2968.0	0.6232675346493071	5169	0.855794701986755	1979.0	0.3828593538402012	5199	0.8607615894039735	2012.0	0.3869974995191383
9	0.2	-0.4	-0.4	0	150	5181	0.8577814569536424	1989.0	0.38390272148233934	3183	0.5269867549668874	1320.0	0.41470311027332707	3629	0.6008278145695364	2223.0	0.612565445026178	3824	0.633112582781457	1450.0	0.37918410041841005	5181	0.8577814569536424	1990.0	0.38409573441420575
10	0.2	-0.6	-0.6	0	150	5181	0.8577814569536424	1989.0	0.38390272148233934	2284	0.3781456953642384	1016.0	0.4448336252189142	2711	0.44884105960264903	1680.0	0.6196975285872371	2701	0.4471854304635762	1142.0	0.42280636801184746	5181	0.8577814569536424	1990.0	0.38409573441420575
