AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	941	0.9978791092258749	473.0	0.5026567481402763	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
2	0.0	-0.2	-0.2	0	150	941	0.9978791092258749	473.0	0.5026567481402763	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
3	0.0	-0.4	-0.4	0	150	941	0.9978791092258749	473.0	0.5026567481402763	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
4	0.0	-0.6	-0.6	0	150	941	0.9978791092258749	473.0	0.5026567481402763	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
5	0.0	-0.8	-0.8	0	150	941	0.9978791092258749	473.0	0.5026567481402763	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
6	0.0	-1.0	-1.0	0	150	941	0.9978791092258749	473.0	0.5026567481402763	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
7	0.2	0.0	0.0	0	150	699	0.7412513255567338	343.0	0.4907010014306152	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
8	0.2	-0.2	-0.2	0	150	699	0.7412513255567338	343.0	0.4907010014306152	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
9	0.2	-0.4	-0.4	0	150	699	0.7412513255567338	343.0	0.4907010014306152	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
10	0.2	-0.6	-0.6	0	150	699	0.7412513255567338	343.0	0.4907010014306152	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
11	0.2	-0.8	-0.8	0	150	699	0.7412513255567338	343.0	0.4907010014306152	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
12	0.2	-1.0	-1.0	0	150	699	0.7412513255567338	343.0	0.4907010014306152	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
13	0.4	0.0	0.0	0	150	378	0.40084835630965004	195.0	0.5158730158730159	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
14	0.4	-0.2	-0.2	0	150	378	0.40084835630965004	195.0	0.5158730158730159	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
15	0.4	-0.4	-0.4	0	150	378	0.40084835630965004	195.0	0.5158730158730159	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
16	0.4	-0.6	-0.6	0	150	378	0.40084835630965004	195.0	0.5158730158730159	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
17	0.4	-0.8	-0.8	0	150	378	0.40084835630965004	195.0	0.5158730158730159	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
18	0.4	-1.0	-1.0	0	150	378	0.40084835630965004	195.0	0.5158730158730159	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
19	0.6	0.0	0.0	0	150	200	0.21208907741251326	113.0	0.565	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
20	0.6	-0.2	-0.2	0	150	200	0.21208907741251326	113.0	0.565	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
21	0.6	-0.4	-0.4	0	150	200	0.21208907741251326	113.0	0.565	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
22	0.6	-0.6	-0.6	0	150	200	0.21208907741251326	113.0	0.565	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
23	0.6	-0.8	-0.8	0	150	200	0.21208907741251326	113.0	0.565	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
24	0.6	-1.0	-1.0	0	150	200	0.21208907741251326	113.0	0.565	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
25	0.8	0.0	0.0	0	150	109	0.11558854718981973	67.0	0.6146788990825688	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
26	0.8	-0.2	-0.2	0	150	109	0.11558854718981973	67.0	0.6146788990825688	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
27	0.8	-0.4	-0.4	0	150	109	0.11558854718981973	67.0	0.6146788990825688	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
28	0.8	-0.6	-0.6	0	150	109	0.11558854718981973	67.0	0.6146788990825688	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
29	0.8	-0.8	-0.8	0	150	109	0.11558854718981973	67.0	0.6146788990825688	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
30	0.8	-1.0	-1.0	0	150	109	0.11558854718981973	67.0	0.6146788990825688	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
31	1.0	0.0	0.0	0	150	32	0.033934252386002124	17.0	0.53125	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
32	1.0	-0.2	-0.2	0	150	32	0.033934252386002124	17.0	0.53125	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
33	1.0	-0.4	-0.4	0	150	32	0.033934252386002124	17.0	0.53125	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
34	1.0	-0.6	-0.6	0	150	32	0.033934252386002124	17.0	0.53125	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
35	1.0	-0.8	-0.8	0	150	32	0.033934252386002124	17.0	0.53125	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
36	1.0	-1.0	-1.0	0	150	32	0.033934252386002124	17.0	0.53125	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN	0	0.0	0.0	NaN
