AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	NO3 FN Predictions	NO3 FN Coverage	NO3 FN MAE Sum	NO3 Rev MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	941	0.9978791092258749	473.0	0.5026567481402763	933	0.9893955461293743	619.0	0.6634512325830654	933	0.9893955461293743	711.0	0.7620578778135049	941	0.9978791092258749	475.0	0.5047821466524973	941	0.9978791092258749	476.0	0.5058448459086079
2	0.0	-0.2	-0.2	0	150	941	0.9978791092258749	473.0	0.5026567481402763	556	0.5896076352067868	294.0	0.5287769784172662	613	0.6500530222693531	410.0	0.6688417618270799	696	0.7380699893955461	343.0	0.492816091954023	941	0.9978791092258749	473.0	0.5026567481402763
3	0.0	-0.4	-0.4	0	150	941	0.9978791092258749	473.0	0.5026567481402763	290	0.3075291622481442	161.0	0.5551724137931034	379	0.4019088016967126	246.0	0.6490765171503958	370	0.39236479321314954	189.0	0.5108108108108108	941	0.9978791092258749	472.0	0.5015940488841658
4	0.0	-0.6	-0.6	0	150	941	0.9978791092258749	473.0	0.5026567481402763	166	0.176033934252386	86.0	0.5180722891566265	215	0.22799575821845175	144.0	0.6697674418604651	201	0.21314952279957583	114.0	0.5671641791044776	941	0.9978791092258749	473.0	0.5026567481402763
5	0.0	-0.8	-0.8	0	150	941	0.9978791092258749	473.0	0.5026567481402763	83	0.088016967126193	50.0	0.6024096385542169	121	0.1283138918345705	94.0	0.7768595041322314	108	0.11452810180275716	68.0	0.6296296296296297	941	0.9978791092258749	473.0	0.5026567481402763
6	0.0	-1.0	-1.0	0	150	941	0.9978791092258749	473.0	0.5026567481402763	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	30	0.031813361611876985	15.0	0.5	941	0.9978791092258749	473.0	0.5026567481402763
7	0.2	0.0	0.0	0	150	699	0.7412513255567338	343.0	0.4907010014306152	933	0.9893955461293743	619.0	0.6634512325830654	933	0.9893955461293743	711.0	0.7620578778135049	941	0.9978791092258749	475.0	0.5047821466524973	941	0.9978791092258749	474.0	0.5037194473963869
8	0.2	-0.2	-0.2	0	150	699	0.7412513255567338	343.0	0.4907010014306152	556	0.5896076352067868	294.0	0.5287769784172662	613	0.6500530222693531	410.0	0.6688417618270799	696	0.7380699893955461	343.0	0.492816091954023	708	0.750795334040297	347.0	0.4901129943502825
9	0.2	-0.4	-0.4	0	150	699	0.7412513255567338	343.0	0.4907010014306152	290	0.3075291622481442	161.0	0.5551724137931034	379	0.4019088016967126	246.0	0.6490765171503958	370	0.39236479321314954	189.0	0.5108108108108108	699	0.7412513255567338	342.0	0.4892703862660944
10	0.2	-0.6	-0.6	0	150	699	0.7412513255567338	343.0	0.4907010014306152	166	0.176033934252386	86.0	0.5180722891566265	215	0.22799575821845175	144.0	0.6697674418604651	201	0.21314952279957583	114.0	0.5671641791044776	699	0.7412513255567338	343.0	0.4907010014306152
11	0.2	-0.8	-0.8	0	150	699	0.7412513255567338	343.0	0.4907010014306152	83	0.088016967126193	50.0	0.6024096385542169	121	0.1283138918345705	94.0	0.7768595041322314	108	0.11452810180275716	68.0	0.6296296296296297	699	0.7412513255567338	343.0	0.4907010014306152
12	0.2	-1.0	-1.0	0	150	699	0.7412513255567338	343.0	0.4907010014306152	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	30	0.031813361611876985	15.0	0.5	699	0.7412513255567338	343.0	0.4907010014306152
13	0.4	0.0	0.0	0	150	378	0.40084835630965004	195.0	0.5158730158730159	933	0.9893955461293743	619.0	0.6634512325830654	933	0.9893955461293743	711.0	0.7620578778135049	941	0.9978791092258749	475.0	0.5047821466524973	941	0.9978791092258749	475.0	0.5047821466524973
14	0.4	-0.2	-0.2	0	150	378	0.40084835630965004	195.0	0.5158730158730159	556	0.5896076352067868	294.0	0.5287769784172662	613	0.6500530222693531	410.0	0.6688417618270799	696	0.7380699893955461	343.0	0.492816091954023	697	0.7391304347826086	345.0	0.4949784791965567
15	0.4	-0.4	-0.4	0	150	378	0.40084835630965004	195.0	0.5158730158730159	290	0.3075291622481442	161.0	0.5551724137931034	379	0.4019088016967126	246.0	0.6490765171503958	370	0.39236479321314954	189.0	0.5108108108108108	385	0.40827147401908803	199.0	0.5168831168831168
16	0.4	-0.6	-0.6	0	150	378	0.40084835630965004	195.0	0.5158730158730159	166	0.176033934252386	86.0	0.5180722891566265	215	0.22799575821845175	144.0	0.6697674418604651	201	0.21314952279957583	114.0	0.5671641791044776	378	0.40084835630965004	196.0	0.5185185185185185
17	0.4	-0.8	-0.8	0	150	378	0.40084835630965004	195.0	0.5158730158730159	83	0.088016967126193	50.0	0.6024096385542169	121	0.1283138918345705	94.0	0.7768595041322314	108	0.11452810180275716	68.0	0.6296296296296297	378	0.40084835630965004	195.0	0.5158730158730159
18	0.4	-1.0	-1.0	0	150	378	0.40084835630965004	195.0	0.5158730158730159	25	0.026511134676564158	15.0	0.6	27	0.02863202545068929	17.0	0.6296296296296297	30	0.031813361611876985	15.0	0.5	378	0.40084835630965004	195.0	0.5158730158730159
19	0.6	0.0	0.0	0	150	200	0.21208907741251326	113.0	0.565	933	0.9893955461293743	619.0	0.6634512325830654	933	0.9893955461293743	711.0	0.7620578778135049	941	0.9978791092258749	475.0	0.5047821466524973	941	0.9978791092258749	475.0	0.5047821466524973
20	0.6	-0.2	-0.2	0	150	200	0.21208907741251326	113.0	0.565	556	0.5896076352067868	294.0	0.5287769784172662	613	0.6500530222693531	410.0	0.6688417618270799	696	0.7380699893955461	343.0	0.492816091954023	697	0.7391304347826086	344.0	0.4935437589670014
21	0.6	-0.4	-0.4	0	150	200	0.21208907741251326	113.0	0.565	290	0.3075291622481442	161.0	0.5551724137931034	379	0.4019088016967126	246.0	0.6490765171503958	370	0.39236479321314954	189.0	0.5108108108108108	371	0.3934252386002121	189.0	0.5094339622641509
22	0.6	-0.6	-0.6	0	150	200	0.21208907741251326	113.0	0.565	166	0.176033934252386	86.0	0.5180722891566265	215	0.22799575821845175	144.0	0.6697674418604651	201	0.21314952279957583	114.0	0.5671641791044776	204	0.2163308589607635	116.0	0.5686274509803921
