AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	6697	0.8313058589870904	2690.0	0.40167239062266685	6406	0.7951837140019861	2765.0	0.43162660006244147	6695	0.8310575968222443	2707.0	0.4043315907393577	6721	0.8342850049652433	2721.0	0.4048504686802559
2	0.0	-0.2	-0.2	0	150	6697	0.8313058589870904	2690.0	0.40167239062266685	6028	0.7482621648460774	2548.0	0.42269409422694093	6355	0.7888530287984111	2506.0	0.3943351691581432	6716	0.8336643495531281	2713.0	0.40396069088743297
3	0.0	-0.4	-0.4	0	150	6697	0.8313058589870904	2690.0	0.40167239062266685	5683	0.7054369414101291	2425.0	0.4267112440612353	6032	0.7487586891757696	2417.0	0.40069628647214856	6714	0.833416087388282	2712.0	0.40393208221626453
4	0.0	-0.6	-0.6	0	150	6697	0.8313058589870904	2690.0	0.40167239062266685	5237	0.6500744786494538	2277.0	0.43479091082680926	5686	0.7058093346573983	2269.0	0.39905029897995076	6711	0.8330436941410129	2704.0	0.4029205781552675
5	0.0	-0.8	-0.8	0	150	6697	0.8313058589870904	2690.0	0.40167239062266685	4698	0.5831678252234359	2051.0	0.43656875266070666	5156	0.6400198609731876	2094.0	0.4061287820015516	6705	0.8322989076464746	2695.0	0.40193885160328113
6	0.0	-1.0	-1.0	0	150	6697	0.8313058589870904	2690.0	0.40167239062266685	3320	0.41211519364448856	1563.0	0.4707831325301205	3801	0.4718222442899702	1582.0	0.4162062615101289	6701	0.8318023833167825	2694.0	0.4020295478286823
7	0.2	0.0	0.0	0	150	6362	0.7897219463753724	2494.0	0.3920150895944671	6406	0.7951837140019861	2765.0	0.43162660006244147	6695	0.8310575968222443	2707.0	0.4043315907393577	6718	0.8339126117179742	2717.0	0.4044358440011908
8	0.2	-0.2	-0.2	0	150	6362	0.7897219463753724	2494.0	0.3920150895944671	6028	0.7482621648460774	2548.0	0.42269409422694093	6355	0.7888530287984111	2506.0	0.3943351691581432	6393	0.7935700099304865	2528.0	0.39543250430157983
9	0.2	-0.4	-0.4	0	150	6362	0.7897219463753724	2494.0	0.3920150895944671	5683	0.7054369414101291	2425.0	0.4267112440612353	6032	0.7487586891757696	2417.0	0.40069628647214856	6385	0.7925769612711023	2522.0	0.39498825371965546
10	0.2	-0.6	-0.6	0	150	6362	0.7897219463753724	2494.0	0.3920150895944671	5237	0.6500744786494538	2277.0	0.43479091082680926	5686	0.7058093346573983	2269.0	0.39905029897995076	6379	0.7918321747765641	2512.0	0.3937921304279668
11	0.2	-0.8	-0.8	0	150	6362	0.7897219463753724	2494.0	0.3920150895944671	4698	0.5831678252234359	2051.0	0.43656875266070666	5156	0.6400198609731876	2094.0	0.4061287820015516	6372	0.7909632571996028	2503.0	0.392812303829253
12	0.2	-1.0	-1.0	0	150	6362	0.7897219463753724	2494.0	0.3920150895944671	3320	0.41211519364448856	1563.0	0.4707831325301205	3801	0.4718222442899702	1582.0	0.4162062615101289	6367	0.7903426017874876	2502.0	0.39296371917700645
13	0.4	0.0	0.0	0	150	6043	0.750124131082423	2405.0	0.39798113519774947	6406	0.7951837140019861	2765.0	0.43162660006244147	6695	0.8310575968222443	2707.0	0.4043315907393577	6717	0.8337884806355511	2716.0	0.40434717880005955
14	0.4	-0.2	-0.2	0	150	6043	0.750124131082423	2405.0	0.39798113519774947	6028	0.7482621648460774	2548.0	0.42269409422694093	6355	0.7888530287984111	2506.0	0.3943351691581432	6388	0.7929493545183715	2519.0	0.39433312460864123
15	0.4	-0.4	-0.4	0	150	6043	0.750124131082423	2405.0	0.39798113519774947	5683	0.7054369414101291	2425.0	0.4267112440612353	6032	0.7487586891757696	2417.0	0.40069628647214856	6076	0.7542204568023834	2435.0	0.40075707702435814
16	0.4	-0.6	-0.6	0	150	6043	0.750124131082423	2405.0	0.39798113519774947	5237	0.6500744786494538	2277.0	0.43479091082680926	5686	0.7058093346573983	2269.0	0.39905029897995076	6063	0.7526067527308838	2422.0	0.3994722084776513
17	0.4	-0.8	-0.8	0	150	6043	0.750124131082423	2405.0	0.39798113519774947	4698	0.5831678252234359	2051.0	0.43656875266070666	5156	0.6400198609731876	2094.0	0.4061287820015516	6055	0.7516137040714995	2412.0	0.3983484723369116
18	0.4	-1.0	-1.0	0	150	6043	0.750124131082423	2405.0	0.39798113519774947	3320	0.41211519364448856	1563.0	0.4707831325301205	3801	0.4718222442899702	1582.0	0.4162062615101289	6049	0.7508689175769613	2411.0	0.39857827740122337
19	0.6	0.0	0.0	0	150	5705	0.7081678252234359	2277.0	0.39912357581069235	6406	0.7951837140019861	2765.0	0.43162660006244147	6695	0.8310575968222443	2707.0	0.4043315907393577	6717	0.8337884806355511	2714.0	0.4040494268274527
20	0.6	-0.2	-0.2	0	150	5705	0.7081678252234359	2277.0	0.39912357581069235	6028	0.7482621648460774	2548.0	0.42269409422694093	6355	0.7888530287984111	2506.0	0.3943351691581432	6388	0.7929493545183715	2520.0	0.3944896681277395
21	0.6	-0.4	-0.4	0	150	5705	0.7081678252234359	2277.0	0.39912357581069235	5683	0.7054369414101291	2425.0	0.4267112440612353	6032	0.7487586891757696	2417.0	0.40069628647214856	6073	0.7538480635551142	2434.0	0.40079038366540426
22	0.6	-0.6	-0.6	0	150	5705	0.7081678252234359	2277.0	0.39912357581069235	5237	0.6500744786494538	2277.0	0.43479091082680926	5686	0.7058093346573983	2269.0	0.39905029897995076	5736	0.7120158887785502	2302.0	0.4013249651324965
23	0.6	-0.8	-0.8	0	150	5705	0.7081678252234359	2277.0	0.39912357581069235	4698	0.5831678252234359	2051.0	0.43656875266070666	5156	0.6400198609731876	2094.0	0.4061287820015516	5723	0.7104021847070506	2293.0	0.40066398741918574
24	0.6	-1.0	-1.0	0	150	5705	0.7081678252234359	2277.0	0.39912357581069235	3320	0.41211519364448856	1563.0	0.4707831325301205	3801	0.4718222442899702	1582.0	0.4162062615101289	5715	0.7094091360476663	2284.0	0.39965004374453195
25	0.8	0.0	0.0	0	150	5173	0.6421300893743793	2102.0	0.40634061473033056	6406	0.7951837140019861	2765.0	0.43162660006244147	6695	0.8310575968222443	2707.0	0.4043315907393577	6711	0.8330436941410129	2713.0	0.4042616599612576
26	0.8	-0.2	-0.2	0	150	5173	0.6421300893743793	2102.0	0.40634061473033056	6028	0.7482621648460774	2548.0	0.42269409422694093	6355	0.7888530287984111	2506.0	0.3943351691581432	6378	0.791708043694141	2515.0	0.394324239573534
27	0.8	-0.4	-0.4	0	150	5173	0.6421300893743793	2102.0	0.40634061473033056	5683	0.7054369414101291	2425.0	0.4267112440612353	6032	0.7487586891757696	2417.0	0.40069628647214856	6063	0.7526067527308838	2433.0	0.4012864918357249
28	0.8	-0.6	-0.6	0	150	5173	0.6421300893743793	2102.0	0.40634061473033056	5237	0.6500744786494538	2277.0	0.43479091082680926	5686	0.7058093346573983	2269.0	0.39905029897995076	5723	0.7104021847070506	2295.0	0.40101345448191505
29	0.8	-0.8	-0.8	0	150	5173	0.6421300893743793	2102.0	0.40634061473033056	4698	0.5831678252234359	2051.0	0.43656875266070666	5156	0.6400198609731876	2094.0	0.4061287820015516	5200	0.6454816285998014	2122.0	0.40807692307692306
30	0.8	-1.0	-1.0	0	150	5173	0.6421300893743793	2102.0	0.40634061473033056	3320	0.41211519364448856	1563.0	0.4707831325301205	3801	0.4718222442899702	1582.0	0.4162062615101289	5190	0.644240317775571	2113.0	0.4071290944123314
31	1.0	0.0	0.0	0	150	3796	0.471201588877855	1602.0	0.4220231822971549	6406	0.7951837140019861	2765.0	0.43162660006244147	6695	0.8310575968222443	2707.0	0.4043315907393577	6699	0.8315541211519365	2703.0	0.40349305866547247
32	1.0	-0.2	-0.2	0	150	3796	0.471201588877855	1602.0	0.4220231822971549	6028	0.7482621648460774	2548.0	0.42269409422694093	6355	0.7888530287984111	2506.0	0.3943351691581432	6363	0.7898460774577954	2502.0	0.3932107496463932
33	1.0	-0.4	-0.4	0	150	3796	0.471201588877855	1602.0	0.4220231822971549	5683	0.7054369414101291	2425.0	0.4267112440612353	6032	0.7487586891757696	2417.0	0.40069628647214856	6048	0.7507447864945382	2418.0	0.3998015873015873
34	1.0	-0.6	-0.6	0	150	3796	0.471201588877855	1602.0	0.4220231822971549	5237	0.6500744786494538	2277.0	0.43479091082680926	5686	0.7058093346573983	2269.0	0.39905029897995076	5706	0.708291956305859	2276.0	0.3988783736417806
35	1.0	-0.8	-0.8	0	150	3796	0.471201588877855	1602.0	0.4220231822971549	4698	0.5831678252234359	2051.0	0.43656875266070666	5156	0.6400198609731876	2094.0	0.4061287820015516	5179	0.6428748758689176	2110.0	0.4074145587951342
36	1.0	-1.0	-1.0	0	150	3796	0.471201588877855	1602.0	0.4220231822971549	3320	0.41211519364448856	1563.0	0.4707831325301205	3801	0.4718222442899702	1582.0	0.4162062615101289	3901	0.48423535253227407	1648.0	0.42245578056908484
